você e uma criaturinha muito impertinente;desgosto
não confio em você;medo
sua falsidade me entristece;tristeza
Ser feliz sem motivo é a mais autêntica forma de felicidade.;alegria
o peso e a dor da vida;desgosto
ate o cachorro está apavorado;medo
quem esta descontente com os outros esta descontente consigo próprio;tristeza
Quem quiser vencer na vida deve fazer como os seus sábios: mesmo com a alma partida, ter um sorriso nos lábios.;alegria
me arrependo amargamente de minhas ações;desgosto
estou assustado com as ações do meu colega;medo
a torcida esta descontente com a demissão do tecnico;tristeza
O mais feliz dos felizes é aquele que faz os outros felizes.;alegria
o destino e cruel e os homens não são dignos de compaixão;desgosto
agora se sente humilhado, apavorado;medo
estou bastante aborrecido com o jornal;tristeza
O prazer é a prova da natureza, o seu sinal da aprovação. Quando somos felizes, somos sempre bons, mas quando somos bons nem sempre somos felizes.;alegria
o ódio conduz ao isolamento cruel e ao desespero;desgosto
assustou a população e provocou mortes;medo
me sinto solitário e entediado;tristeza
O prazer é a prova da natureza, o seu sinal da aprovação. Quando somos felizes, somos sempre bons, mas quando somos bons nem sempre somos felizes.;alegria
encerrou com o massacre mais repudiável e asqueroso que se conhece;desgosto
estou com dificuldades para respirar e muito assustado;medo
a vida e solitária para aqueles que não são falsos;tristeza
Sorria! Deus acaba de te dar um novo dia e coisas extraordinárias podem acontecer se você crer!;alegria
de mal gosto e asqueroso;desgosto
os policiais se assustaram quando o carro capotou;medo
como com compulsão depois da depressão;tristeza
Ser feliz não é viver apenas momentos de alegria. É ter coragem de enfrentar os momentos de tristeza e sabedoria para transformar os problemas em aprendizado.;alegria
tudo e inserto neste mundo hediondo;desgosto
o trabalhador e assombrado pelo temor do desemprego;medo
estou me desencorajando a viver;tristeza
Chique é ser feliz. Elegante é ser honesto. Bonito é ser caridoso. Sábio é saber ser grato. O resto é inversão de valores.;alegria
o crime de corrupção e um crime hediondo;desgosto
este lugar e mal assombrado;medo
ele desencoraja minhas vontades;tristeza
Simplesmente viva a vida!;alegria
o rio esta fetido e de cor escura;desgosto
estou assombrado pela crise financeira;medo
isso vai deprimindo por dentro;tristeza
Melhor que rir, é rir com alguém ao seu lado. Sorriso dividido é sorriso dobrado.;alegria
muito lixo no rio o deixa malcheiroso;desgosto
mesmo aterrorizado lembro de você;medo
acho que isso e defeituoso;tristeza
O seu sorriso pode mudar o dia de alguém.;alegria
existe uma laranja podre no grupo e já desconfiamos quem é;desgosto
aterrorizado e suando frio;medo
os remedios me derrubam na cama;tristeza
Faça mais do que te faz feliz.;alegria
foi de repente estou machucado e me sentindo enjoado;desgosto
um grupo de elefantes selvagens tem aterrorizado vilas;medo
a depressão vai me derrubar;tristeza
Não fique esperando o futuro para ser feliz, faça do presente a sua alegria.;alegria
eu fiquei enojado;desgosto
me sinto intimidada pela sua presença;medo
suas desculpas são falsas;tristeza
